,name,selections
0,Kareem Abdul-Jabbar,19
1,Kobe Bryant,18
2,Julius Erving,16
3,Tim Duncan,15
4,Kevin Garnett,15
5,LeBron James,15
6,Shaquille O'Neal,15
7,Michael Jordan,14
8,Karl Malone,14
9,Dirk Nowitzki,14
10,Jerry West,14
11,Wilt Chamberlain,13
12,Bob Cousy,13
13,John Havlicek,13
14,Moses Malone,13
15,Dwyane Wade,13
16,Rick Barry,12
17,Larry Bird,12
18,George Gervin,12
19,Elvin Hayes,12
20,Magic Johnson,12
21,Hakeem Olajuwon,12
22,Oscar Robertson,12
23,Bill Russell,12
24,Dolph Schayes,12
25,Isiah Thomas,12
26,Charles Barkley,11
27,Elgin Baylor,11
28,Chris Bosh,11
29,Patrick Ewing,11
30,Artis Gilmore,11
31,Allen Iverson,11
32,Bob Pettit,11
33,Ray Allen,10
34,Carmelo Anthony,10
35,Paul Arizin,10
36,Clyde Drexler,10
37,Kevin Durant,10
38,Hal Greer,10
39,Jason Kidd,10
40,Paul Pierce,10
41,David Robinson,10
42,John Stockton,10
43,Robert Parish,9
44,Chris Paul,9
45,Gary Payton,9
46,Lenny Wilkens,9
47,Dominique Wilkins,9
48,Vince Carter,8
49,Dave Cowens,8
50,Dave DeBusschere,8
51,Alex English,8
52,Larry Foust,8
53,Dwight Howard,8
54,Bob Lanier,8
55,Yao Ming,8
56,Dikembe Mutombo,8
57,Steve Nash,8
58,Bill Sharman,8
59,Russell Westbrook,8
60,LaMarcus Aldridge,7
61,Dave Bing,7
62,Louie Dampier,7
63,Mel Daniels,7
64,Walt Frazier,7
65,Harry Gallatin,7
66,James Harden,7
67,Grant Hill,7
68,Dan Issel,7
69,Joe Johnson,7
70,Jerry Lucas,7
71,Ed Macauley,7
72,Slater Martin,7
73,Tracy McGrady,7
74,Dick McGuire,7
75,Kevin McHale,7
76,Alonzo Mourning,7
77,Scottie Pippen,7
78,Willis Reed,7
79,Jack Sikma,7
80,Nate Thurmond,7
81,Chet Walker,7
82,Jo Jo White,7
83,James Worthy,7
84,Tiny Archibald,6
85,Larry Costello,6
86,Stephen Curry,6
87,Adrian Dantley,6
88,Anthony Davis,6
